glass_type,method,k,iteration,ari,selected_features,feature_jaccard,failed,failure_reason
高钾,Ward,4,31,0.9315068493150684,P2O5+SiO2+K2O,0.6,0,
高钾,Ward,5,31,0.5551436515291936,P2O5+SiO2+K2O,0.6,0,
高钾,Ward,2,32,-0.08333333333333333,P2O5+SiO2+Al2O3+K2O,0.8,0,
高钾,Ward,3,32,1.0,P2O5+SiO2+Al2O3+K2O,0.8,0,
高钾,Ward,4,32,1.0,P2O5+SiO2+Al2O3+K2O,0.8,0,
高钾,Ward,5,32,0.6748848550528312,P2O5+SiO2+Al2O3+K2O,0.8,0,
高钾,Ward,2,33,-0.12704918032786885,SiO2+Al2O3+CuO+P2O5,0.8,0,
高钾,Ward,3,33,0.7828507795100222,SiO2+Al2O3+CuO+P2O5,0.8,0,
高钾,Ward,4,33,0.782608695652174,SiO2+Al2O3+CuO+P2O5,0.8,0,
高钾,Ward,5,33,0.5392491467576792,SiO2+Al2O3+CuO+P2O5,0.8,0,
高钾,Ward,2,34,0.19799498746867167,Fe2O3+Al2O3+CuO,0.3333333333333333,0,
高钾,Ward,3,34,0.30575643621637255,Fe2O3+Al2O3+CuO,0.3333333333333333,0,
高钾,Ward,4,34,0.542777970211292,Fe2O3+Al2O3+CuO,0.3333333333333333,0,
高钾,Ward,5,34,0.5251286110011871,Fe2O3+Al2O3+CuO,0.3333333333333333,0,
高钾,Ward,2,35,1.0,K2O+P2O5+SiO2+Al2O3,0.8,0,
高钾,Ward,3,35,0.14742451154529307,K2O+P2O5+SiO2+Al2O3,0.8,0,
高钾,Ward,4,35,0.26605504587155965,K2O+P2O5+SiO2+Al2O3,0.8,0,
高钾,Ward,5,35,0.375,K2O+P2O5+SiO2+Al2O3,0.8,0,
高钾,Ward,2,36,1.0,K2O+SiO2+Al2O3+Fe2O3+P2O5,0.6666666666666666,0,
高钾,Ward,3,36,0.4582043343653251,K2O+SiO2+Al2O3+Fe2O3+P2O5,0.6666666666666666,0,
高钾,Ward,4,36,0.4036697247706422,K2O+SiO2+Al2O3+Fe2O3+P2O5,0.6666666666666666,0,
高钾,Ward,5,36,0.24069855732725892,K2O+SiO2+Al2O3+Fe2O3+P2O5,0.6666666666666666,0,
高钾,Ward,2,37,0.08333333333333333,CuO+P2O5+SiO2+PbO+Fe2O3,0.42857142857142855,0,
高钾,Ward,3,37,0.41627358490566035,CuO+P2O5+SiO2+PbO+Fe2O3,0.42857142857142855,0,
