repeat_id,outer_fold,model,config_json
3,4,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": 0.5, ""threshold"": 0.5}"
4,0,Logistic,"{""C"": 100, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.53}"
4,0,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 3, ""min_samples_leaf"": 3, ""threshold"": 0.5}"
4,0,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": ""auto"", ""threshold"": 0.42000000000000004}"
4,1,Logistic,"{""C"": 10, ""class_weight"": ""none"", ""features"": [""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.5}"
4,1,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 1, ""min_samples_leaf"": 6, ""threshold"": 0.5}"
4,1,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": 0.7, ""threshold"": 0.5}"
4,2,Logistic,"{""C"": 100, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.52}"
4,2,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 3, ""min_samples_leaf"": 5, ""threshold"": 0.5}"
4,2,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": 0.5, ""threshold"": 0.5}"
4,3,Logistic,"{""C"": 100, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.4700000000000001}"
4,3,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 1, ""min_samples_leaf"": 6, ""threshold"": 0.5}"
4,3,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": 0.7, ""threshold"": 0.5}"
4,4,Logistic,"{""C"": 1, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡""], ""threshold"": 0.7500000000000002}"
4,4,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 1, ""min_samples_leaf"": 8, ""threshold"": 0.5}"
4,4,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": 0.1, ""threshold"": 0.5}"
5,0,Logistic,"{""C"": 100, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""threshold"": 0.45000000000000007}"
5,0,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""balanced"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 3, ""min_samples_leaf"": 5, ""threshold"": 0.5}"
5,0,LDA,"{""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""shrinkage"": ""auto"", ""threshold"": 0.4600000000000001}"
5,1,Logistic,"{""C"": 0.1, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝""], ""threshold"": 0.48000000000000004}"
5,1,CART,"{""ccp_alpha"": 0.0, ""class_weight"": ""none"", ""features"": [""钾_相对_铅钡"", ""铅钡_相对_硅铝"", ""硅铝_相对_总助熔""], ""max_depth"": 3, ""min_samples_leaf"": 5, ""threshold"": 0.5}"
